cell,markers
breast breast glandular cells,"['LTF', 'FOLR1', 'MFGE8', 'TNFRSF11B', 'MRC1', 'SLC39A6', 'CD14', 'HSD17B2', 'ANGPTL4', 'MUC4', 'CANT1', 'NTRK2', 'CA12', 'GFRA1', 'CNTFR', 'PLA2G3', 'EPHB3', 'CD36', 'SMPDL3B', 'FAM174A', 'CDH1', 'RERG', 'PLAT', 'NPY1R', 'ADCY3', 'THSD4', 'IGSF1', 'RET', 'TMEM26', 'C4BPB', 'KIT', 'PROM2', 'CELSR1', 'IL17RB', 'ADORA1', 'ATL1', 'SLITRK6', 'SLC1A4', 'ITGB6', 'NAAA', 'OSMR', 'CELSR2', 'PROM1', 'SERPINA3', 'ERBB3', 'SLC39A8', 'LRP2', 'LOXL4', 'EFNB3', 'SLCO4C1', 'CDSN', 'SIGLEC5', 'PCDHA6', 'NTN3', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'GMPPB', 'TPTE', 'TMEFF1', 'PCDHGB1', 'PCDHGB4', 'HTR1D', 'C4A', 'GP5', 'UGT1A9', 'SLC12A2', 'FLG2', 'SLC45A2', 'TLR9', 'SLC6A2', 'ARSF', 'PCDHGB5', 'DBH', 'NTSR1', 'CACNG6', 'LAMA3', 'SIGLEC12', 'TMEM63C', 'INHBE', 'SLC29A2', 'SLC22A5', 'PCDHA10', 'SLITRK3', 'TMEM132E', 'CEACAM8', 'TNFSF18', 'PCDHGA9', 'FLRT1', 'TMPRSS5', 'PLXNB3', 'ZP4', 'CPZ', 'PCDH20', 'ITIH2', 'CELSR3']"
endometrium macrophages,"['HLA-DRB1', 'HLA-DQB1', 'CYBB', 'PLD4', 'CD1D', 'OLR1', 'CD80', 'IFI30', 'CD1C', 'CD1B', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'TRHR', 'EPX', 'PCDHA11', 'PCDHA6', 'TNFSF18', 'TPTE', 'TLR9', 'PCDHGB4', 'PCDHGB1', 'GP5', 'SIGLEC12', 'UGT1A9', 'FLG2', 'TMEFF1', 'HTR1D', 'VSTM1', 'SLC6A2', 'C4A', 'NTSR1', 'ARSF', 'SLC45A2', 'DBH', 'INHBE', 'PCDH20', 'SLITRK3', 'PCDHGB5', 'PTPRQ', 'CEACAM8', 'TMEM132E', 'ZP4', 'IGLON5', 'SLC26A5', 'PLXNB3', 'PCDHGA9', 'SIRPB1', 'CLEC5A', 'PLA2G3', 'CACNG6', 'CPZ', 'IGSF1', 'KIR3DL1', 'FLRT1', 'CD101', 'ELFN2', 'CDSN', 'PCDHA10', 'AGTR2', 'PCDHGA8', 'COL2A1', 'TNFRSF8', 'SCN2B', 'LRRC15', 'UNC5A', 'KIR2DL3', 'SIGLEC9', 'TMPRSS5', 'MGAT5B', 'CRLF2', 'ICAM5', 'CDH15', 'TLL2', 'TYR', 'SIGLEC7', 'PCDHGA12', 'NTRK1', 'CELSR3', 'PCDHGB7', 'SCNN1D', 'SLC6A11', 'ADORA1', 'PRG2', 'HLA-DQB2', 'SLC22A16', 'LRFN1', 'IL1RL2', 'RET', 'CCR4', 'TMEM63C', 'TMEM26', 'FCAR', 'HEPACAM', 'AMIGO1', 'ULBP3', 'NXPH4']"
colon distal enterocytes,"['TSPAN8', 'SLC26A2', 'TSPAN1', 'CEACAM1', 'EPCAM', 'BSG', 'ANPEP', 'CEACAM6', 'CDH17', 'ACAA1', 'EMP1', 'CA12', 'GPRC5A', 'LAMA1', 'HHLA2', 'HSD17B2', 'ST14', 'DSC2', 'SLC6A8', 'CDH1', 'LDLR', 'CGN', 'CTSA', 'DSG2', 'CLCN2', 'CASP7', 'ST3GAL4', 'CNNM4', 'CTSD', 'PARM1', 'SMPD1', 'CXADR', 'SLC26A6', 'SLC22A5', 'LAMA3', 'ANO9', 'SLC9A1', 'GGT1', 'ACHE', 'MGAT4B', 'IL17RB', 'ABCB1', 'SLC6A9', 'MST1R', 'DISP2', 'PLOD2', 'TMEM63B', 'CNNM2', 'SEMA4G', 'PCDH1', 'LAMB3', 'GPR39', 'LRP4', 'TMEM63C', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'COL2A1', 'TLR9', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'CDSN', 'TPTE', 'NTN3', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'UGT1A9', 'GP5', 'FLG2', 'SLC45A2', 'C4A', 'GABRA2', 'PCDHGB5', 'SLC6A2', 'TNFSF18', 'ARSF', 'P2RX4', 'DBH', 'PLA2G3', 'INHBE', 'SIGLEC12', 'GOLM1', 'CACNG6', 'PCDHGA9', 'PCDH20', 'SLITRK3', 'TMEM132E', 'PTPRQ', 'FLRT1', 'ZP4', 'SLC26A5', 'PCDHA10', 'SCAP', 'CPZ']"
colon paneth cells,"['CEACAM6', 'HEPACAM2', 'ST3GAL4', 'HSD17B2', 'LAMA3', 'CEACAM1', 'ADRA2A', 'SLC2A5', 'MSLN', 'SMPDL3B', 'NPY1R', 'CNTFR', 'ACHE', 'CEACAM8', 'VIPR1', 'NTN3', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'GP5', 'FLG2', 'CDSN', 'UGT1A9', 'C4A', 'SLC6A2', 'TNFSF18', 'TLR9', 'SLC45A2', 'ARSF', 'DBH', 'PCDHGB5', 'INHBE', 'SIGLEC12', 'CACNG6', 'PCDHGA9', 'PCDH20', 'TMEM63C', 'SLITRK3', 'TMEM132E', 'PTPRQ', 'FLRT1', 'ZP4', 'SLC26A5', 'CPZ', 'PLXNB3', 'PLA2G3', 'PCDHA10', 'KIR3DL1', 'PCDHGA8', 'IGSF1', 'UNC5A', 'ALPP', 'SLC22A5', 'SCN2B', 'PCDHGA12', 'TMEM26', 'AGTR2', 'RTN4R', 'LRRC15', 'TMPRSS5', 'TLL2', 'ELFN2', 'CELSR3', 'KIR2DL3', 'MGAT5B', 'ATG9A', 'IGLON5', 'PCDHGB7', 'COL2A1', 'ULBP3', 'NTSR1', 'CDH15', 'TYR', 'ELFN1', 'VSTM1', 'EFNB3', 'CRLF2', 'SCNN1D', 'TNFRSF8', 'ADORA1', 'ICAM5', 'SEMA4G', 'SLC6A11', 'SLC22A16', 'IL1RL2', 'NTRK1', 'PRG2', 'TSHR', 'CD1B']"
eye rod photoreceptor cells,"['NTM', 'ELOVL4', 'ATP1A3', 'APLP2', 'SLC4A7', 'MFGE8', 'SLC6A6', 'SEZ6L2', 'PROM1', 'CADM1', 'ATP6V0A1', 'ABCA7', 'TMEM132A', 'ATP1B2', 'CRB2', 'NFASC', 'NT5E', 'TFPI2', 'SLC12A5', 'APLP1', 'DNER', 'CDH2', 'SEMA3A', 'JAM3', 'ALPL', 'PCDH15', 'GDPD5', 'NMUR1', 'TMEM25', 'ZNF844', 'SEMA7A', 'FLG2', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHA11', 'PCDHGC5', 'TRHR', 'ABCC5', 'NTN3', 'EPX', 'IGDCC4', 'PCDHA6', 'TPTE', 'TMEFF1', 'HTR1D', 'GP5', 'CDSN', 'PCDHGB1', 'UGT1A9', 'TLR9', 'C4A', 'PCDHGB4', 'SLC6A2', 'SLC6A15', 'ARSF', 'INHBE', 'SLC45A2', 'TNFSF18', 'SIGLEC12', 'DBH', 'PCDH20', 'CEACAM8', 'SLC26A5', 'CACNG6', 'PCDHA10', 'ZP4', 'PTPRQ', 'CPZ', 'PCDHGB5', 'PLA2G3', 'PLXNB3', 'CELSR3', 'PCDHGA9', 'KIR3DL1', 'ELFN1', 'TMEM132E', 'TMPRSS5', 'ALPP', 'KIR2DL3', 'CSPG5', 'PODXL', 'TMEM26', 'NTSR1', 'LRRC15', 'AGTR2', 'TLL2', 'PCDHGA12', 'SCNN1D', 'SLITRK3', 'PCDHGA8', 'BTD', 'CDH15', 'ATG9A', 'ULBP3', 'TYR', 'IL1RL2', 'CRLF2', 'TSHR']"
testis late spermatids,"['GAPDHS', 'CXCL16', 'TSPAN6', 'SPANXB1', 'MFAP3L', 'YBX1', 'TMX4', 'ACE', 'MYL6B', 'THBS3', 'GPI', 'TSPAN1', 'DPP7', 'GOLM1', 'PLBD2', 'BACE1', 'CCDC126', 'GFRA2', 'TUBA4A', 'PTK7', 'S1PR2', 'C6orf120', 'SLC22A23', 'GDPD5', 'CANX', 'PTCH1', 'FUT11', 'ITPR3', 'SMPD1', 'APLF', 'C1orf159', 'SDK1', 'NTRK3', 'LAMP1', 'BRI3BP', 'SNRPD2', 'PODXL2', 'IL13RA2', 'NPTX1', 'ATP1A3', 'TMEM63B', 'SGCB', 'SLC38A6', 'SULF1', 'MPHOSPH9', 'PCBP3', 'CNTN1', 'TOR1AIP1', 'LAMP3', 'BVES', 'SPPL2B', 'SLC5A1', 'SLC38A9', 'PNPLA6', 'IL17D', 'CES1', 'LRP11', 'FAM174B', 'BSCL2', 'ITGA10', 'VSTM1', 'FICD', 'FNDC5', 'RYR3', 'COL2A1', 'EPHB1', 'ZDHHC23', 'SLC46A1', 'CADM1', 'PCDHGB1', 'TMEM132B', 'TRHDE', 'APLP1', 'SLC45A2', 'CSF2RB', 'SLAMF6', 'GABRA2', 'MGAT5B', 'TNFRSF8', 'TMEM26', 'ERMP1', 'SLC22A16', 'ATP1B3', 'ITGA2B', 'TLL2', 'TLR3', 'EPHA1', 'CRB2', 'TMEM132E', 'INTS12', 'PCDHA10', 'LRRC8B', 'CELSR1', 'HTR1D', 'CDSN', 'TMEFF1', 'PCDHA11', 'C4A', 'SIGLEC5']"
placenta fibroblasts,"['COL1A1', 'COL3A1', 'COL1A2', 'POSTN', 'LUM', 'COL5A2', 'COL5A1', 'OLFML3', 'FKBP10', 'SERPINH1', 'PLOD2', 'FKBP7', 'RCN3', 'SULF1', 'SLIT3', 'CDH3', 'WNT5B', 'TNC', 'SLC2A1', 'EFNB2', 'SEZ6L2', 'EMILIN1', 'CDH11', 'MRC2', 'APLP1', 'PRSS35', 'CRB2', 'GFRA2', 'SLIT2', 'ITGB6', 'COL11A1', 'BMP1', 'FREM2', 'CHSY3', 'AMIGO2', 'PODXL2', 'CDON', 'AXL', 'CERCAM', 'IGDCC4', 'CADM4', 'CNTFR', 'IGLON5', 'CADM1', 'DBH', 'LRRC4B', 'SLITRK6', 'FBN2', 'LRFN1', 'EFNB3', 'FGFR2', 'BCAN', 'ELFN1', 'SV2A', 'ACVR2A', 'NPTX1', 'DISP2', 'CELSR3', 'NXPH4', 'SLC29A4', 'EPHA5', 'UNC5A', 'GRIK3', 'L1CAM', 'COL2A1', 'TMEM200B', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'TRHR', 'SLITRK3', 'TMEFF1', 'PCDHA6', 'CDSN', 'TPTE', 'EPX', 'GP5', 'PCDHGB4', 'NTSR1', 'PCDHGB1', 'SLC45A2', 'HTR1D', 'FLG2', 'UGT1A9', 'TLR9', 'SMO', 'FAP', 'PCDH20', 'PCDHGB5', 'C4A', 'FLRT1', 'ELFN2', 'ARSF', 'SEMA3A', 'PCDHA10', 'LRRN1']"
prostate fibroblasts,"['PDGFRA', 'GPM6B', 'ADRA2C', 'PTGER3', 'ISLR', 'HSD11B1', 'APOD', 'HHIP', 'TMEM200B', 'MOXD1', 'IL13RA2', 'PCDHA6', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'FAM171A2', 'NTN3', 'PCDHGC5', 'EPX', 'PCDHA11', 'TRHR', 'GP5', 'PCDHGB4', 'TPTE', 'TMEFF1', 'PCDHGB1', 'FLG2', 'PTPRQ', 'UGT1A9', 'PCDHGA9', 'CDSN', 'TLR9', 'C4A', 'HTR1D', 'PCDHGB5', 'SLC6A2', 'TNFSF18', 'SLC45A2', 'NTSR1', 'SLITRK3', 'DBH', 'INHBE', 'CACNG6', 'PCDH20', 'FLRT1', 'IGSF1', 'SIGLEC12', 'PCDHGA8', 'ZP4', 'ARSF', 'TMEM132E', 'PCDHGB7', 'CPZ', 'PLXNB3', 'PLA2G3', 'KIR3DL1', 'PCDHA10', 'SMO', 'UNC5A', 'ALPP', 'CEACAM8', 'PCDHGA12', 'SLC26A5', 'COL2A1', 'NTRK1', 'ELFN2', 'AGTR2', 'SCN2B', 'LRRC15', 'KIR2DL3', 'CELSR3', 'PCDHGC3', 'TMPRSS5', 'MGAT5B', 'TLL2', 'HTR2B', 'TMEM26', 'LRRC4B', 'TYRO3', 'TYR', 'IGLON5', 'CDH15', 'IL17D', 'TMEM63C', 'ELFN1', 'CRLF2', 'ADORA1', 'VSTM1', 'EFNB3', 'ICAM5', 'SCNN1D', 'PDCD1LG2', 'ATG9A', 'SLC6A11', 'TNFRSF8', 'PRG2', 'AMIGO1', 'TSHR', 'SLC22A16']"
testis sertoli cells,"['PDGFRB', 'KCNH2', 'CSPG4', 'L1CAM', 'SIGLEC5', 'PPIAL4A', 'NTN3', 'NXF2', 'PCDHGC5', 'EPX', 'TRHR', 'PCDHA6', 'PCDHA11', 'PCDHGB4', 'GP5', 'ADORA1', 'TMEFF1', 'UGT1A9', 'HTR1D', 'TLR9', 'CDSN', 'FLG2', 'TNFSF18', 'C4A', 'NTSR1', 'ARSF', 'PCDHGB5', 'ENPEP', 'DBH', 'INHBE', 'PCDH20', 'PCDHGA9', 'SIGLEC12', 'SLITRK3', 'ZP4', 'FLRT1', 'PLXNB3', 'TMPRSS5', 'CEACAM8', 'CACNG6', 'PLA2G3', 'SCN4B', 'CPZ', 'SLC26A5', 'KIR3DL1', 'ALPP', 'TMEM26', 'KIR2DL3', 'SLC45A2', 'PCDHGA12', 'AGTR2', 'PTPRQ', 'PCDHGA8', 'LRRC15', 'IGSF1', 'TMEM132E', 'PCDHGB1', 'UNC5A', 'SCN2B', 'ELFN2', 'ULBP3', 'CHST3', 'CELSR3', 'TPTE', 'GPC1', 'CRLF2', 'PCDHGB7', 'IL1RL2', 'TSHR', 'ICAM5', 'PRG2', 'PCDHA10', 'NTRK1', 'ELFN1', 'ADAMTS15', 'CDH15', 'SLC6A2', 'KCNK17', 'TMEM200B', 'TLL2', 'CCR4', 'HEPACAM', 'LRFN1', 'CNTNAP1', 'TMEM63C', 'NXPH4', 'IL17RB', 'HTR2B', 'CD101', 'ATG9A', 'SLC6A11', 'MGAT5B', 'SCNN1D', 'FAM171A2', 'AMIGO1', 'SLITRK2', 'COL6A6', 'RAET1G', 'SLC2A4']"
bronchus smooth muscle cells,"['TUBB', 'TUBA4A', 'CCT4', 'TSPAN3', 'NOP56', 'PPT2', 'BDNF', 'HSPD1', 'PFN1', 'TPBG', 'ANGPTL2', 'GMPS', 'CDH2', 'PCDH19', 'ERGIC2', 'ACVR1', 'ERAP1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'TRHR', 'PCDHA11', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB4', 'HTR1D', 'GP5', 'PCDHGB1', 'FLG2', 'CDSN', 'UGT1A9', 'TLR9', 'C4A', 'SLC45A2', 'TNFSF18', 'NTSR1', 'SLC6A2', 'PCDHGA9', 'PCDHGB5', 'DBH', 'SIGLEC12', 'IGLON5', 'INHBE', 'ARSF', 'SLITRK3', 'TMEM132E', 'PCDH20', 'CEACAM8', 'FLRT1', 'ZP4', 'SLC26A5', 'CPZ', 'PLXNB3', 'PTPRQ', 'KIR3DL1', 'PCDHA10', 'PLA2G3', 'ATG9A', 'COL2A1', 'IGSF1', 'UNC5A', 'ALPP', 'CACNG6', 'CELSR3', 'PCDHGA8', 'KIR2DL3', 'PCDHGA12', 'ELFN2', 'TMEM26', 'AGTR2', 'LRRC15', 'SCN2B', 'EFNB3', 'MGAT5B', 'TMPRSS5', 'ELFN1', 'NTRK1', 'PCDHGB7', 'CDH15', 'TLL2', 'INTS12', 'ICAM5', 'TYR', 'ITGB7', 'VSTM1', 'SCNN1D', 'CRLF2', 'ADORA1', 'IL1RL2', 'ULBP3', 'TNFRSF8', 'SLC6A11', 'TMEM63C', 'PRG2', 'LRFN1']"
esophagus schwann cells,"['GPM6B', 'SCN7A', 'CDH19', 'MPZ', 'CHL1', 'L1CAM', 'PRNP', 'NCAM1', 'GPR155', 'ERBB3', 'SORCS1', 'GRIK3', 'SLITRK6', 'PLXNB3', 'ENTPD2', 'IGSF1', 'SCN2B', 'TLR3', 'TLL2', 'TMEFF1', 'OLFML2A', 'FLRT1', 'SMO', 'SCNN1D', 'PCDHGB7', 'SLC44A2', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'PCDHA6', 'PCDHA11', 'TRHR', 'LOXL4', 'TPTE', 'HTR1D', 'HMCN1', 'CDSN', 'PCDHGB1', 'UGT1A9', 'FLG2', 'PCDHGB4', 'CADM4', 'SLC6A2', 'GP5', 'DBH', 'SLC45A2', 'INHBE', 'NTSR1', 'CACNG6', 'PCDH20', 'ARSF', 'SLITRK2', 'CPZ', 'CEACAM8', 'TMEM132E', 'PTPRQ', 'ZP4', 'SLC26A5', 'PCDHGA9', 'SIGLEC12', 'PLA2G3', 'NPTX2', 'SLITRK3', 'PCDHA10', 'ELFN2', 'KIR3DL1', 'PCDHGB5', 'UNC5A', 'ALPP', 'PCDHGA8', 'KIR2DL3', 'COL2A1', 'TYRO3', 'TMEM200B', 'AGTR2', 'TMPRSS5', 'CELSR3', 'TLR9', 'TNFSF18', 'C4A', 'MEGF8', 'IGLON5', 'IL17D', 'LRRC15', 'MGAT5B', 'TMEM26', 'TYR', 'VSTM1', 'CDH15', 'TMEM63C', 'CRLF2', 'GABRA2', 'PCDHGA12', 'NTRK1', 'GPR176', 'NLGN4X']"
liver hepatocytes,"['SERPINA1', 'ORM1', 'HP', 'FGA', 'FGB', 'AMBP', 'APOH', 'HPX', 'TF', 'VTN', 'C3', 'CP', 'APOB', 'AHSG', 'CES1', 'KNG1', 'C4BPA', 'SERPING1', 'CFH', 'A2M', 'F2', 'HSD11B1', 'CLU', 'SLC39A14', 'C4BPB', 'ACAA1', 'PON1', 'BCHE', 'ITIH2', 'F5', 'IL1RAP', 'ABCC2', 'SCARB1', 'CD302', 'ELOVL6', 'SLC7A2', 'LEPR', 'HSD17B2', 'ENPP1', 'SLC43A1', 'LIPG', 'INHBE', 'SEMA4G', 'C11orf24', 'C4A', 'FGFR4', 'CDH2', 'VNN1', 'UGT1A9', 'HEPACAM', 'ELFN1', 'GGCX', 'SLITRK3', 'SLCO4C1', 'PCDH20', 'NTN3', 'RTN4R', 'ST3GAL6', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'ARSF', 'TPTE', 'TMEFF1', 'DBH', 'SERPINA3', 'SLC29A4', 'PCDHGB4', 'GP5', 'IGSF1', 'PCDHGB1', 'SLC6A2', 'TLR9', 'CDSN', 'FLG2', 'TNFSF18', 'SLC45A2', 'SCNN1D', 'PCDHGB5', 'HTR1D', 'CACNG6', 'PCDHGA9', 'CEACAM8', 'FLRT1', 'PTPRQ', 'ZP4', 'ELFN2', 'SIGLEC12', 'CPZ', 'NTSR1', 'PLXNB3', 'PLA2G3', 'PCDHGA8', 'SMO']"
rectum enteroendocrine cells,"['CHGA', 'COL2A1', 'SLC29A4', 'APLP1', 'TMEM63C', 'SEZ6L2', 'EPHB3', 'EFNB3', 'IL17RB', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'GABRA2', 'DBH', 'TPTE', 'TMEFF1', 'PCDHGB4', 'CACNG6', 'PCDHGB1', 'GP5', 'HTR1D', 'FLG2', 'CELSR3', 'CDSN', 'UGT1A9', 'SDK2', 'C4A', 'TNFSF18', 'TLR9', 'SLC45A2', 'SLC6A2', 'ARSF', 'NTSR1', 'PCDHGB5', 'SIGLEC12', 'INHBE', 'PCDHGA9', 'PCDHGA8', 'SLITRK3', 'TMEM132E', 'PTPRQ', 'AMIGO2', 'FLRT1', 'ZP4', 'SLC26A5', 'CEACAM8', 'CPZ', 'PLXNB3', 'PLA2G3', 'PCDH20', 'PCDHA10', 'KIR3DL1', 'IGSF1', 'ELFN2', 'UNC5A', 'ALPP', 'KIR2DL3', 'SCN2B', 'PCDHGA12', 'NXPH4', 'TMEM26', 'AGTR2', 'LRRC15', 'TMPRSS5', 'MGAT5B', 'TLL2', 'IGLON5', 'PCDHGB7', 'IL1RL2', 'NTRK1', 'CDH15', 'SCNN1D', 'TYR', 'ELFN1', 'ICAM5', 'CRLF2', 'VSTM1', 'ADORA1', 'AMIGO1', 'TSHR', 'SLC6A11', 'ULBP3', 'GPR39', 'SLC22A16', 'TNFRSF8', 'PRG2', 'LRFN1', 'ATG9A', 'CD1B', 'KCNK17', 'CCR4', 'HTR2B', 'HEPACAM']"
colon t-cells,"['KLRB1', 'CD7', 'TRBC1', 'CD3D', 'TRAC', 'CD96', 'CLEC2D', 'GPR65', 'TIGIT', 'TMIGD2', 'P2RY10', 'CD160', 'IL2RB', 'KLRC1', 'ITGA1', 'CD3G', 'TNFRSF9', 'SIRPG', 'EVI2A', 'ENTPD1', 'GPR174', 'CD244', 'ITGB7', 'NTRK1', 'NMUR1', 'CD101', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'GP5', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'ULBP2', 'TPTE', 'NTN3', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'FLG2', 'CDSN', 'KIR2DL3', 'UGT1A9', 'C4A', 'SLC6A2', 'TNFSF18', 'TLR9', 'SLC45A2', 'ARSF', 'DBH', 'PCDHGB5', 'INHBE', 'SIGLEC12', 'CACNG6', 'PCDHGA9', 'PCDH20', 'SLITRK3', 'TMEM132E', 'PTPRQ', 'FLRT1', 'ZP4', 'SLC26A5', 'CPZ', 'PLXNB3', 'PLA2G3', 'PCDHA10', 'KIR3DL1', 'PCDHGA8', 'IGSF1', 'UNC5A', 'ALPP', 'ADORA1', 'SCN2B', 'PCDHGA12', 'TMEM26', 'CEACAM8', 'AGTR2', 'LRRC15', 'TMPRSS5', 'CRLF2', 'TLL2', 'ELFN2', 'CELSR3', 'LRFN1', 'MGAT5B', 'IGLON5', 'PCDHGB7', 'P2RY11', 'COL2A1', 'NTSR1', 'TNFRSF8', 'CDH15', 'TYR', 'ELFN1', 'VSTM1', 'EFNB3']"
fallopian tube smooth muscle cells,"['MCAM', 'FLNA', 'MRGPRF', 'MFGE8', 'BCAM', 'ITGA7', 'NTRK2', 'MSLN', 'CSPG4', 'AOC3', 'BCHE', 'NTRK3', 'SUSD5', 'TSPAN2', 'ADRA2C', 'SLC2A4', 'ITGA8', 'PTGIR', 'SUSD2', 'SLITRK3', 'EDNRA', 'C1QTNF2', 'AMIGO2', 'GFRA1', 'RERG', 'SERPINI1', 'TBXA2R', 'GRIA2', 'CDH6', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'KCNK17', 'NTN3', 'EPX', 'TRHR', 'PCDHA11', 'PCDHA6', 'TPTE', 'PCDHGB1', 'HTR1D', 'TMEFF1', 'FLG2', 'PCDHGB4', 'CDSN', 'IGSF1', 'UGT1A9', 'GP5', 'TLR9', 'ARSF', 'SLC45A2', 'TNFSF18', 'C4A', 'SLC6A2', 'INHBE', 'NTSR1', 'PCDH20', 'TMEM132E', 'DBH', 'SLIT3', 'ZP4', 'PCDHGB5', 'PLXNB3', 'FLRT1', 'PLA2G3', 'SLC26A5', 'PCDHGA9', 'PCDHA10', 'ALPP', 'SCN2B', 'KIR3DL1', 'PCDHGA8', 'COL2A1', 'TMPRSS5', 'CELSR3', 'CACNG6', 'SIGLEC12', 'ANGPT1', 'ELFN2', 'TMEM26', 'KIR2DL3', 'MGAT5B', 'CPZ', 'TLL2', 'PTPRQ', 'TMEM200B', 'LRRC4B', 'SLC6A11', 'TYR', 'ADORA1', 'BVES', 'EFNB3', 'CDH15', 'TMEM63C', 'HTR2B', 'UNC5A', 'S1PR3', 'SCNN1D']"
lung alveolar cells type 2,"['HHIP', 'LAMP3', 'C4BPA', 'SLC39A8', 'ALPL', 'CACNA2D2', 'SLC6A14', 'SUSD2', 'LRP2', 'LDLR', 'ITGB6', 'AGTR2', 'SLCO4C1', 'MET', 'EPDR1', 'PLA2G3', 'FREM2', 'CDH15', 'ICAM5', 'ELFN2', 'CSPG5', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'PARM1', 'TPTE', 'TMEFF1', 'PCDHGB4', 'HTR1D', 'CDSN', 'PCDHGB1', 'UGT1A9', 'GP5', 'FLG2', 'C4A', 'SLC45A2', 'TLR9', 'SLC6A2', 'TNFSF18', 'ARSF', 'NTSR1', 'PCDH20', 'INHBE', 'STEAP4', 'DBH', 'PCDHGB5', 'SIGLEC12', 'SLITRK3', 'FLRT1', 'TMEM132E', 'COL2A1', 'ZP4', 'PCDHGA9', 'SLC26A5', 'CPZ', 'PTPRQ', 'CEACAM8', 'PLXNB3', 'ULBP3', 'IGSF1', 'PCDHA10', 'UNC5A', 'PCDHGA8', 'SMPDL3B', 'CELSR3', 'GPC4', 'SLC29A2', 'PCDHGA12', 'SCN2B', 'LRRC15', 'TMPRSS5', 'ITPR3', 'TLL2', 'TMEM26', 'MGAT5B', 'TYR', 'KIR3DL1', 'IL1RL2', 'IGLON5', 'SCNN1D', 'TMEM63C', 'SEMA4F', 'CACNG6', 'SLC6A11', 'AMIGO1', 'PRG2', 'TSHR', 'KIR2DL3', 'RTN4R', 'PCDHGB7', 'SLC22A16', 'ATG9A', 'ELFN1']"
salivary gland plasma cells,"['IGHA1', 'IGHM', 'CD27', 'FCRL5', 'TNFRSF17', 'SLAMF7', 'TXNDC15', 'SMPDL3B', 'FCRL2', 'IL5RA', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA6', 'EPX', 'TRHR', 'PCDHA11', 'TPTE', 'TMEFF1', 'FICD', 'HTR1D', 'CDSN', 'PCDHGB1', 'UGT1A9', 'FLG2', 'TLR9', 'GP5', 'PCDHGB4', 'C4A', 'TNFSF18', 'ARSF', 'SLC45A2', 'SLC6A2', 'DBH', 'TSHR', 'CACNG6', 'INHBE', 'PCDH20', 'PCDHGB5', 'NTSR1', 'SIGLEC12', 'TMEM132E', 'CEACAM8', 'PTPRQ', 'SLITRK3', 'FLRT1', 'ZP4', 'PLXNB3', 'CPZ', 'PLA2G3', 'CDH15', 'KIR3DL1', 'ELFN2', 'IGSF1', 'UNC5A', 'ALPP', 'CELSR3', 'COL2A1', 'KIR2DL3', 'AGTR2', 'PCDHGA9', 'TMEM26', 'MGAT5B', 'LRRC15', 'TLL2', 'SLC26A5', 'TMEM63C', 'SCN2B', 'IGLON5', 'TYR', 'PCDHA10', 'NTRK1', 'CRLF2', 'ELFN1', 'VSTM1', 'SCNN1D', 'PCDHGA8', 'TNFRSF8', 'PCDHGA12', 'SLC6A11', 'PRG2', 'EFNB3', 'CD1B', 'ADORA1', 'SLC22A16', 'IL1RL2', 'GPR39', 'HEPACAM', 'ATG9A', 'CHRNA3', 'ULBP3', 'NXPH4', 'LRFN1', 'ICAM5', 'KCNK17', 'GGT1', 'GRIK3']"
